question,prediction,truth,exact_match,f1
Diện tích Ấn Độ Dương?,75.000.000 km²,75.000.000 km²,1,1.0
Ấn Độ Dương chiếm bao nhiêu phần trăm nước?,20%,20%,1,1.0
Ấn Độ dương giáp nước nào ở phía Tây?,Ả Rập,bán đảo Ả Rập và châu Phi. Ấn Độ Dương,0,0.33333333333333337
Tên gọi khác của ấn độ dương?,Tiểu Tây Dương.,Tiểu Tây Dương,0,0.6666666666666666
Phía bắc ấn độ dương giáp bởi nước nào ngoài Ấn Độ và Pakistan,"Iran,",Iran,0,0.0
Đại dương nào được đặt theo tên của Ấn Độ?,Tiểu Tây Dương.,Ấn Độ Dương,0,0.0
Tiểu Tây Dương là gì?,đại dương,Ấn Độ Dương,0,0.0
Ai gọi Ấn Độ dương là Tiểu tây dương?,Sử sách tiếng Việt,Sử sách tiếng Việt,1,1.0
Phía đông của Ấn độ dương giáp bởi đâu?,Đông Nam Á,Đông Nam Á,1,1.0
Cụ thể phía đông của Ấn độ dương giáp bởi đâu?,Đông Nam Á,"Myanma, Thái Lan, Malaysia, Indonesia",0,0.0
Ranh giới đại tây dương và ấn độ dương ở đâu?,"nằm ở kinh tuyến 20° Đông,",kinh tuyến 20° Đông,0,0.6
Thể tích Ấn độ dương?,292.131.000 km³.,292.131.000 km³,0,0.5
Ranh giới giữa Ấn Độ dương về phía Bắc ở đâu?,khoảng 30 độ Bắc trong vịnh Ba Tư.,30 độ Bắc trong vịnh Ba Tư,0,0.7999999999999999
Bề rộng của Ấn độ dương?,75.000.000 km²,73.556.000 km²,0,0.5
Đảo Tasmania nằm ở đâu?,các điểm cực địa lý của châu Đại Dương,phía nam của mũi Agulhas,0,0.14285714285714285
Bề rộng của Ấn đô dương giáp bởi đâu?,Nam Băng Dương.,giữa Úc và châu Phi,0,0.0
Kinh tuyến 20 Đông của Ấn Độ dương tại đâu?,ranh giới giữa Ấn Độ Dương và Đại Tây Dương,Đại Tây Dương,0,0.4615384615384615
Phía Nam của Ấn độ dương giáo tại đâu?,hướng Nam,Nam Đại Dương,0,0.4
Phía Nam của Ấn Độ Dương giáp ở vĩ tuyến nào?,60° Nam,60° Nam,1,1.0
Ranh giới của Ấn độ dương do ai quy ước?,"quốc tế,",quốc tế,0,0.5
ATP là gì rứa?,là Hiệp hội quần vợt của các tay vợt nam.,Association of Tennis Professionals,0,0.0
Hộ quần vợt chuyên nghiệp viết tắt là gì rứa?,"ATP),",ATP,0,0.0
Tên tiếng Anh của hội vợt chuyên nghiệp?,"Association of Tennis Professionals,",Association of Tennis Professionals,0,0.75
Hội quần vợt chuyên ngiệp nữ là gì?,"WTA,",WTA,0,0.0
Ai điều hành WTA?,Liên đoàn quần vợt Quốc tế.,Liên đoàn quần vợt Quốc tế,0,0.8333333333333334
ATP thành lập khi nào?,"1972,",1972,0,0.0
Hội nào không tổ chức giải quần vợt cho Nam?,Hiệp hội quần vợt nhà nghề,"trừ Grand Slam, Davis Cup bởi ITF; ATP World Tour Finals cùng với ITF",0,0.0
Liên đoàn vợt quốc tế gồm ai quản lí?,ATP và WTA,Liên đoàn quần vợt Quốc tế,0,0.0
北冰洋 là gì rứa?,"là đại dương nhỏ nhất trong năm đại dương của Trái Đất,",Bắc Băng Dương,0,0.0
Viết Bắc băng Dương bằng tiếng hán?,Ấn,北冰洋,0,0.0
Đại dương bé nhất Trái Đất là gì?,Bắc Băng Dương.,Bắc Băng Dương,0,0.6666666666666666
Bắc băng dương sâu bao nhiêu?,1.038 mét.,1.038 mét,0,0.5
Bắc băng dương được bao quanh bởi nơi nào?,"Bao quanh bởi các vùng đất của Liên bang Nga,","các vùng đất của Liên bang Nga, Hoa Kỳ (vùng Alaska), Canada, Na Uy, Đan Mạch (vùng Greenland)",0,0.5
"Ngoài Nga, Canada, Na Uy, Đan Mạch thì Bắc Băng dương còn được bao bởi đâu?",Hoa Kỳ,Hoa Kỳ (vùng Alaska),0,0.6666666666666666
Độ mặn của đại dương nào thấp nhất so với các đại dương lớn?,nó,Bắc Băng Dương,0,0.0
Tại sao bắc băng dương lại ít mặn hơn các đại dương khác?,"Theo thứ tự diện tích giảm dần,","tốc độ bốc hơi thấp, lượng nước ngọt đổ vào từ các sông và suối lớn và có ít liên hệ với các đại dương và vực nước xung quanh",0,0.0
Tuyết ở cực bắc quanh năm như thế nào?,băng tuyết bao phủ hoàn toàn vào mùa đông và một phần quanh năm.,một phần,0,0.25
Ai đã đặt tên Bắc cực là Eschate Thule?,Pytheas của Massilia,Pytheas,0,0.5
Pytheas sống ở đâu?,hiện.,Massilia,0,0.0
Nhà thám hiểm cua Massilia đã thăm quan bắc cực khi nào?,"năm 325 TCN,",325 TCN,0,0.4
Người ta đã khám phá hết Bắc cực chưa?,chưa được khám phá,phần lớn chưa được khám phá,0,0.8
Pytheas đã nêu đặc trưng của cực Bắc như thế nào?,nơi,nơi Mặt Trời chỉ có 3 giờ mỗi ngày và mặt nước bị thay thế bằng một chất đông cứng,0,0.09523809523809523
Chất đông cứng ở Cực bắc là gì?,mặt nước,trên đó người ta không thể đi bộ cũng như không thể đi bằng tàu,0,0.0
Bản đồ nào vẽ Eschate Thule là vùng Đất?,"bản đồ năm 1507 của Johannes Ruysch,","bản đồ năm 1507 của Johannes Ruysch, hay bản đồ năm 1595 của Gerardus Mercator",0,0.6363636363636364
Ai đã đề nghị cực Bắc là vùng nước trong bản đồ?,Martin Waldseemüller).,bản đồ thế giới năm 1507,0,0.0
Ai đã vẽ bản đồ thế giới 1507?,"Johannes Ruysch,",Martin Waldseemüller,0,0.0
Mặt trời chiếu trên cực Bắc khoảng bao lâu trong 1 ngày?,4 tháng 7).,3 giờ,0,0.0
Từ Thule trong 'Eschate Thule' có nghĩa là gì?,Na Uy, Na Uy qua quần đảo Faroe hoặc đảo Shetland,0,0.3636363636363636
Bill Gate sinh năm nào?,1955),1955,0,0.0
Sinh nhật của Bill Gate?,ngày 28 tháng 10 năm 1955),ngày 28 tháng 10 năm 1955,0,0.8333333333333334
Chủ tịch Microsoft là ai?,Tôn Đức Thắng,"William Henry ""Bill"" Gates III",0,0.0
Microsoft là gì?,Preview.,hãng phần mềm khổng lồ mà ông cùng với Paul Allen đã sáng lập ra,0,0.0
Ai là người giàu nhất năm 2000?,Bill Gates,"William Henry ""Bill"" Gates III",0,0.28571428571428575
Bill Gate là người giàu thứ mấy thế giới năm 2008,thứ ba.,xếp thứ ba,0,0.4
Bill Gate xếp thứ 2 về độ giàu khi nào?,tháng 3/2011 (hạng 2),"tháng 3/2013, 3/2012, tháng 3/2011",0,0.4444444444444445
Ngoài 2011 và 2013 thì Bill Gate giàu thứ 2 vào năm nào?,2008,2012,0,0.0
Giá trị tài sản hiện tại của Gate?,"độ mặn trung bình của 5 đại dương lớn,","77,8 tỷ đô la Mỹ",0,0.0
Gate sáng lập Microsoft cùng với ai?,Preview.,Paul Allen,0,0.0
Châu Đại dương bao gồm nơi nào?,Bắc Băng Dương.,"Melanesia, Micronesia, Polynesia và Australasia",0,0.0
Châu Đại Dương nằm ở đâu?,"Trái Đất,",trải trên Đông Bán cầu và Tây Bán cầu,0,0.0
"Dân số trên Melanesia, Micronesia, Polynesia và Australasia?",khoảng 40 triệu.,8.525.989 km²,0,0.0
Châu lục nào có diện tích đất liền nhỏ nhất?,Châu Đại Dương,Châu Đại Dương,1,1.0
Châu lục nào có dân số nhỏ thứ 2?,Châu Đại Dương,Châu Đại Dương,1,1.0
Châu lục nào có dân số nhỏ nhất thế giới?,châu Nam Cực.,châu Nam Cực,0,0.6666666666666666
Ngoài đảo Ogasawara thì đảo nào nằm ở các cực của châu đại dương?,"Hawaii,","Hawaii, đảo Clipperton, quần đảo Juan Fernández, quần đảo Campbell, quần đảo Cocos (Keeling)",0,0.13333333333333333
Đảo Cocos nằm ở đâu?,châu Đại Dương,cực địa lý của châu Đại Dương,0,0.6
Australasia nằm ở đâu?,Châu Đại Dương,Châu Đại Dương,1,1.0
Nước nào có nền kinh tế phát triển cao?,"Úc và New Zeland,",Úc và New Zeland,0,0.75
Nơi nào đông dân nhất ở châu Đại Dương?,Thành phố Hồ Chí Minh,Úc,0,0.0
Một vài quốc gia kém phát triển ở Châu Đại Dương?,Kiribati và Tuvalu.,Kiribati và Tuvalu,0,0.6666666666666666
Thành phố lớn nhất châu Đâi dương?,Sydney,Sydney,1,1.0
Người đầu tiên khám phá Châu đại dương là ai?,James Cook,James Cook,1,1.0
người dân bắt đầu chuyển đến Úc vào khoảng mấy năm trước?,khoảng 50.000 đến 30.000 năm trước.,khoảng 50.000 đến 30.000 năm trước,0,0.8333333333333334
Lần đầu tiên người châu Âu phát hiện châu đại dương là khi nào?,thế kỷ XVI,thế kỷ XVI,1,1.0
Ở Châu đại dương diễn ra cuộc chiến giữa ai?,Ấn,Hoa Kỳ cùng đồng minh Úc của họ với Nhật Bản,0,0.0
Trận chiến lớn nhất trong chiến tranh đông dương?,Hoa Kỳ cùng đồng minh Úc của họ với Nhật Bản.,Trận Điện Biên Phủ,0,0.0
Trận Điện biên phủ diễn ra ở tỉnh nào?,Lai Châu,Lai Châu,1,1.0
Tên gọi hiện nay của nơi diễn ra trận chiến Điện Biên Phủ?,"thành phố Điện Biên Phủ, tỉnh Điện Biên),","thành phố Điện Biên Phủ, tỉnh Điện Biên",0,0.75
Trận Điện biên phủ là trận chiến giữa Pháp và ai?,Quân đội Nhân dân Việt Nam,Quân đội Nhân dân Việt Nam,1,1.0
Quân Đội Pháp gồm lực lượng nào?,"lực lượng viễn chinh Pháp, lê dương Pháp,","lực lượng viễn chinh Pháp, lê dương Pháp, phụ lực quân bản xứ và Quân đội Quốc gia Việt Nam",0,0.4999999999999999
Cuộc kháng chiến chống Pháp xâm lược diễn ra vào năm nào?,(1945 – 1954),1945 – 1954,0,0.3333333333333333
"Trong trận chiến điện biên phủ, ai chỉ huy QĐNDVN?",Đại tướng Võ Nguyên Giáp,Đại tướng Võ Nguyên Giáp,1,1.0
Pháp đầu hàng khi nào?,"tháng 5 năm 1954,",tháng 5 năm 1954,0,0.75
Trận Điện Biên Phủ diễn ra trong bao lâu?,2 tháng,2 tháng,1,1.0
Số lượng quân mà Pháp đổ vào trong trận Điện Biên Phủ?,16.200 người,16.200,0,0.6666666666666666
Quân đội Pháp có ai ngoài lực lượng viễn chinh?,Việt Nam).,"lê dương Pháp, phụ lực quân bản xứ và Quân đội Quốc gia Việt Nam",0,0.11764705882352941
Ý nghĩa cỉa trận chiến này?,Đây,lần đầu tiên quân đội của một nước thuộc địa châu Á đánh thắng quân đội của một cường quốc châu Âu bằng sức mạnh quân sự,0,0.0
Có bao nhiêu nước đã dành độc lập từ 1960 - 1967?,17,17 nước châu Phi,0,0.4
Pháp được ai trợ giúp trong trận chiến?,Đại tướng Võ Nguyên Giáp,Hoa Kỳ,0,0.0
Sau trận chiến thì tình hình của Pháp như thế nào?,quân,không còn khả năng để tiếp tục ứng chiến,0,0.0
Việt Nam là quốc gia thứ mấy đánh thắng quân đội Pháp?,nhất,lần đầu tiên,0,0.0
Diện tích vùng nước trên Trái Đất?,46%,360.000.000 km2,0,0.0
"Về thể tích, đại dương nào lớn thứ 2 thế giới tính?","Thái Bình Dương,",Đại Tây Dương,0,0.0
Đại dương nào lớn nhất thế giới theo thể tích?,"Thái Bình Dương,",Thái Bình Dương,0,0.6666666666666666
Đại dương nào lớn thứ 3 thế giới về thể tích?,"Thái Bình Dương,",Ấn Độ Dương,0,0.0
