question,prediction,truth,exact_match,f1
Chuẩn đầu ra tiếng Pháp?,DELF_B1 hoặc TCF_niveau_3.,DELF_B1 hoặc TCF_niveau_3,0,0.6666666666666666
Chuẩn đầu ra tiếng Nhật cho sinh viên hệ chính quy?,JLPT_N3,JLPT_N3,1,1.0
Lớp học phần đại cương tối thiều nhiêu sinh viên?,50,50 sinh viên,0,0.5
Nếu em vi phạm trong lúc thi thì xứ lý như thế nào?,đình chỉ học tập 1 năm học,xử lý kỷ luật,0,0.0
Yêu cầu số tín chỉ tích lũy theo năm?,30 ≤ n < k × 30,thỏa điều kiện: (k-1) × 30 ≤ n < k × 30,0,0.631578947368421
Học phí học kì hè?,HPTCHM × ∑TCHPHM,HPTCHM × ∑TCHPHM + HPTCHL × ∑TCHPHL + HPTCCT × ∑TCHPCT,0,0.42857142857142855
Chương trình nào được xây dựng dựa trên chương trình đại trà?,Chương trình liên thông và văn bằng hai,Chương trình liên thông và văn bằng hai,1,1.0
Một học kỳ hè diễn ra trong bao lâu?,5 tuần,5 tuần thực học và 1 tuần thi,0,0.4
1 tín chỉ có mấy tiết lí thuyết?,15 tiết,15 tiết học,0,0.8
Kết quả đạt?,"5 điểm trở lên),",từ 5 điểm trở lên,0,0.6666666666666665
Có bao nhiêu kỳ kiểm tra trong một học kỳ chính?,2,Hai đợt thi,0,0.0
Ai tổ chức một kỳ kiểm tra giữa kỳ và một kỳ thi kết thúc học kỳ ở mỗi học kỳ chính?,Trường,Trường,1,1.0
Chương trình liên kết giữa Trường với các cơ sở liên kết đào tạo trong và ngoài nước được xây dựng trên cơ sở nào?,quy định về chương trình đào tạo,quy định về chương trình đào tạo của ĐHQG-HCM,0,0.8750000000000001
Chương trình đào tạo nào được xây dựng dựa trên thoả thuận?,Chương,Chương trình liên kết,0,0.4
Chương trình chất lượng cao dựa vào đâu?,chương trình đại trà;,chương trình đại trà,0,0.75
Chương trình chất lượng cao có gì đặc biệt hơn so với chương trình đại trà?,"đáp ứng mục tiêu và chuẩn đầu ra cao hơn,",mục tiêu và chuẩn đầu ra cao hơn,0,0.7777777777777777
Đối với sinh viên quá hạn đào tạo nhưng được gia hạn để trả nợ (không học học phần mới) thì học phí được tính thế nào?,tín chỉ với mức học phí cho loại tín chỉ học phí học lại.,đóng học phí theo tín chỉ,0,0.4
Học phí đối với sinh viên quá hạn đào tạo nhưng được gia hạn để trả nợ tính theo loại tín chỉ nào?,tín chỉ,tín chỉ học phí học lại,0,0.5
Khi nào được trường cấp bằng?,sĩ.,khi có nhu cầu,0,0.0
Quy định nào nói về việc cấp bằng?,"Bản chính văn bằng, chứng chỉ được cấp một lần",Điều 14,0,0.0
Căn cứ để chình văn bằng dựa vào đâu?,"Sử dụng Quyết định chỉnh sửa văn bằng, chứng chỉ","thông tin trong sổ gốc cấp văn bằng, chứng chỉ và thông tin trong hồ sơ tốt nghiệp",0,0.2857142857142857
Xét học bổng có tính trên cơ sở nào?,quy định về chương trình đào tạo của ĐHQG-HCM,ĐTBHK,0,0.0
"Điểm I hay điểm M có được tính trong ĐTBHK, ĐTBTLTK hay ĐTBCTL không?",không,không được tính,0,0.5
Điểm bảo lưu được tính vào loại điểm nào ạ?,ĐTBHK.,"ĐTBTLTK, ĐTBCTL",0,0.0
Kế hoạch học tập của mỗi học kỳ và năm học bao gồm những gì?,hè.,thời gian biểu,0,0.0
Kế hoạch học tập được công bố ở đâu?,"website Trường và bản tin, sổ tay sinh viên.",rộng rãi trên website Trường,0,0.2857142857142857
Sinh viên có thể xem kế hoạch học tập ở đâu?,"website Trường và bản tin, sổ tay sinh viên.","website Trường và bản tin, sổ tay sinh viên",0,0.8888888888888888
Phương thức đào tạo mà trường sử dụng là gì?,"văn bằng, chứng chỉ.",học chế tín chỉ,0,0.0
Vì sao trường sử dụng phương thức đào tạo học chế tín chỉ?,kết quả học tập chỉ được đăng ký học tối đa 14 tín chỉ,tích lũy kiến thức trong mọi thời điểm,0,0.0
Trường yêu câu ở sinh viên điều gì?,học.,"tích cực, chủ động",0,0.0
Điểm ĐTBHK làm tròn đến đâu?,"0,01.","0,01",0,0.0
